name,lat,lon,category
Atlanta Park,-33.9413426,150.9123781,park
Atlas Reserve,-34.0592838,150.7445468,park
Aubrey Keech Reserve,-33.9199726,150.8711214,park
Auburn Girls High School,-33.8430405,151.0336815,school
Auburn Memorial Park,-33.8499271,151.0338463,park
Auburn North Public School,-33.8417862,151.0386395,school
Auburn Park,-33.8443106,151.0337627,park
Auburn West Public School,-33.8609244,151.0197424,school
Augusta Park,-33.9746892,151.1181854,park
Augustus Loftus Reserve,-33.8650019,151.0824422,park
Auluba Reserve,-33.7515794,151.110887,park
Aunty Mavis Halvorson Park,-33.7408854,150.841363,park
Ausburn Reserve,-33.758605,150.6615208,park
Austin Park,-33.8611281,151.0667319,park
Austin Reserve,-33.9685257,151.0053415,park
Austin Reserve,-33.9553923,151.0708454,park
Austin Street Reserve,-34.0005325,151.0426435,park
Austinmer Boatharbour,-34.2998996,150.9415095,beach
Austral Avenue Reserve,-33.8113505,150.9828071,park
Austral Public School,-33.9344575,150.8126331,school
Australasia Academy,-33.8759545,151.2086255,school
Australia II Park,-33.7822527,151.1091788,park
Australia Road Reserve,-34.0305416,151.0094581,park
Australia Street Infants School,-33.8957836,151.1775943,school
Australia Street and Brisbane Street Reserve,-33.7664981,150.7813843,park
Australian Christian College,-33.6780785,150.8380386,school
Australian International Academy,-33.8929501,151.0885644,school
Australian Islamic College of Sydney,-33.7589195,150.8300805,school
Australian Islamic College of Sydney Senior School,-33.7596453,150.8326558,school
Australis Park,-33.9596309,150.9394797,park
Avalon Beach Reserve,-33.6340041,151.3316541,park
Avalon Public School,-33.6393838,151.3267207,school
Avalon wholefoods store,-33.6372168,151.3285337,supermarket
Avery Park,-33.8730436,150.9271273,park
Avoca Avenue Reserve,-33.7450954,150.6780663,park
Avoca Beach,-33.4669026,151.4352573,beach
Avoca Beach Public School,-33.4711639,151.4307388,school
Avoca Lions Park,-33.4622167,151.4277821,park
Ayrshire Reserve,-34.059938,150.7449413,park
Ayshford Reserve,-33.9378926,150.8407055,park
Baden Powel Park,-33.4432915,151.2743014,park
Baden Powell Reserve,-34.0813818,150.8225984,park
Badgally Reserve,-34.0484286,150.8047066,park
Badu,-33.928241,150.8337343,park
Badu Park,-33.8832995,151.1751777,park
Bain Playground,-33.8916545,151.1694053,park
Baker Park,-33.9406674,150.8989694,park
Baker Park,-33.9225889,151.2488987,park
Balcombe Heights Estate,-33.7655744,150.9824875,park
Balcombe Park,-33.7173653,151.1134531,park
Bald Face Public School,-33.99676,151.1069011,school
Bales Park,-33.7977057,151.1937064,park
Balgowlah Heights IGA,-33.8009319,151.2571192,supermarket
Balgowlah Heights Public School,-33.8059953,151.2587354,school
Balgowlah Heights Public School,-33.8058444,151.2577642,school
Balgowlah North Public School,-33.7832643,151.2464381,school
Ballaarat Park,-33.8639952,151.1970372,park
Ballantrae Reserve,-34.0202813,150.8335675,park
Ballar Avenue Reserve,-34.0453709,151.0930096,park
Ballast Point Park,-33.8524503,151.1891055,park
Ballast Point Reserve,-33.8506321,151.1832603,park
Ballina Reserve,-33.7779107,151.2195992,park
Balmain East Liquor & Deli,-33.8575103,151.1933303,supermarket
Balmain Public School,-33.8591474,151.1834104,school
Balmoral Beach,-33.8240387,151.253695,beach
Balmoral Park,-33.8987553,151.0999789,park
Balmoral Park,-33.8271747,151.2534343,park
Bambara Oval,-33.7407983,151.2194903,park
Bambara Park,-33.7524406,150.8161169,park
Banavie Reserve,-33.4990298,151.424167,park
Bancroft Park,-33.7840006,151.1839043,park
Bancroft Road Reserve,-33.8754847,150.8641596,park
Band Hall Reserve,-33.8967291,151.0195663,park
Bandalong Reserve,-33.7678675,151.1384938,park
Bangor Park,-33.9259704,151.2475556,park
Bangor Park,-33.8464707,151.0172885,park
Bangor Primary School,-34.0195096,151.0291117,school
Banks Public School,-33.7937212,150.7730812,school
Banks Reserve,-34.0815524,150.6927767,park
Banks Reserve,-33.7555781,150.9404804,park
Banksia Road Primary School,-33.9068944,151.0500976,school
Banksmeadow Public School,-33.9537326,151.2068819,school
Banksmeadow Public School Preschool,-33.9537629,151.2055944,school
Bankstown ANZAC Memorial Park,-33.9161396,151.0339104,park
Bankstown City Gardens,-33.9220775,151.0338235,park
Bankstown City Sports Complex,-33.9280582,151.0228778,park
Bankstown Girls High School,-33.9206405,151.0320424,school
Bankstown Hospital School,-33.933446,151.021069,school
Bankstown Memorial Park,-33.922534,151.0321159,park
Bankstown North Public School,-33.9050169,151.0380328,school
Bankstown Oval,-33.9232777,151.0317043,park
Bankstown Public School,-33.9210901,151.0337185,school
Bankstown Senior College,-33.9309139,151.0222007,school
Bankstown South Infants School,-33.9311553,151.0384608,school
Bankstown West Primary,-33.9155763,151.0196564,school
Bannerman Crescent Reserve,-33.9195299,151.2108865,park
Bannockburn Oval,-33.7348963,151.1404002,park
Bantry Bay Reserve,-33.7803743,151.2411634,park
Baraba Reserve,-33.8542001,151.0132392,park
Baralyly Park,-33.788397,151.0549361,park
Barambah Reserve,-33.7853086,151.1936025,park
Barbara Street Children's Playground,-33.869575,150.9531692,park
Barcom Avenue Park,-33.881043,151.2207968,park
Barcom Street Reserve,-33.8388161,150.9728655,park
Barcoo Reserve,-33.7834984,151.1935095,park
Bardia Park,-33.9783456,150.8588815,park
Bardia Park,-33.9530867,150.946999,park
Bardia Public School,-33.9753373,150.8579191,school
Bardo Park,-33.8475313,151.0370124,park
Bardo Park,-33.436689,151.2872451,park
Bardon Park,-33.9168779,151.2533973,park
Bardwell Park Infants School,-33.9334147,151.1254437,school
Bareena Park,-33.891137,150.9499651,park
Bareena Park,-33.8061703,151.2614775,park
Bargo Public School,-34.2930301,150.5827146,school
Bark Huts Park,-33.8991073,151.0844503,park
Barker Close,-34.0773583,150.6930423,park
Barker College,-33.711026,151.1003821,school
Barker College Prepatory School,-33.7138763,151.1014024,school
Barnett Park,-33.7807349,150.97694,park
Barnett Street Reserve,-33.7747489,150.6891096,park
Barney & Bligh Reserve,-33.8590952,151.2091974,park
Barnier Public School,-33.7205424,150.9017953,school
Baronesa Park,-33.7661917,150.7054481,park
Barra Brui Reserve,-33.7434538,151.1685803,park
Barra Wood,-33.7341716,151.1683357,park
Barracluff Park,-33.8838281,151.2697697,park
Barrallier Park,-34.0792778,150.571115,park
Barramurra Public School,-34.0073589,150.7497201,school
Barratt Reserve,-34.0860664,150.6999962,park
Barrenjoey High School,-33.6311746,151.3339136,school
Barrenjoey Montessori School,-33.6324676,151.3330769,school
Barry Road Reserve,-33.6811066,150.9470141,park
Bartels Park,-33.7973004,151.1745129,park
Barton Park,-33.9480006,151.1540535,park
Barton Park,-33.8011899,151.0208633,park
Barwell Park,-33.9615254,151.1206502,park
Barwon Park,-33.9599571,151.2361301,park
Basil Cook Reserve,-33.7712243,151.06327,park
Basil Street Reserve,-33.9534547,151.0434381,park
Basin Beach,-33.676856,151.3165221,beach
Bass High School,-33.8982206,150.9897824,school
Bass Hill Primary,-33.9058777,151.0057685,school
Bass Reserve,-33.9929614,150.8963262,park
Bates Drive Public School,-34.0222445,151.0852551,school
Bathurst Street Park,-33.8151874,150.9381483,park
Batman Park,-33.7190722,150.5749077,park
Baulkham Hills High School,-33.7513821,150.9909318,school
Baulkham Hills North Primary School,-33.7519303,150.9999396,school
Baxter Reserve,-33.89384,150.983222,park
Bay Park,-33.8310085,151.0732059,park
Bay Street Reserve;Stan McCabe Park,-33.8171768,151.2396299,park
Bayanami Public School,-33.8090975,151.002358,school
Bayside High School,-33.9675974,151.1378031,school
Bayview Park,-33.8578895,151.1210961,park
Beach Paddock,-33.8531329,151.2734452,park
Beach Road Reserve,-33.8841184,151.2689801,park
Beacon Hill Public School,-33.7515309,151.260171,school
Beacon Hill Reserve,-33.7538303,151.2625552,park
Beaconsfield Park,-33.9111614,151.1996427,park
