name,lat,lon,mode
Town Hall Station,-33.87353896,151.20692991,train
Towradgi Station,-34.38441889,150.90134686,train
Tramway Avenue Light Rail,-33.81720469,151.01851443,light_rail
Tuggerah Station,-33.30772394,151.42020531,train
Turramurra Station,-33.73258635,151.12863644,train
Turrella Station,-33.92979582,151.14033853,train
UNSW Anzac Parade Light Rail,-33.91650596,151.22587044,light_rail
UNSW High Street Light Rail,-33.91636479,151.23547074,light_rail
Unanderra Station,-34.45457966,150.84615381,train
Valley Heights Station,-33.70433308,150.58374369,train
Victoria Cross Station,-33.83772725,151.20738465,metro
Victoria Street Station,-32.75104739,151.59408427,train
Villawood Station,-33.88083101,150.97685942,train
Vineyard Station,-33.6503077,150.85115431,train
Wahroonga Station,-33.71804522,151.1175449,train
Waitara Station,-33.71036513,151.10494081,train
Wallarobba Station,-32.49616061,151.6957196,train
Wansey Road Light Rail,-33.91047387,151.23516799,light_rail
Warabrook Station,-32.88738021,151.7101627,train
Waratah Mills Light Rail,-33.89884682,151.14004964,light_rail
Waratah Station,-32.90218201,151.73106539,train
Warnervale Station,-33.24732964,151.44885085,train
Warrawee Station,-33.72439856,151.12182775,train
Warrimoo Station,-33.72140832,150.60273514,train
Warwick Farm Station,-33.91331588,150.93509547,train
Waterfall Station,-34.13490804,150.99454839,train
Waterloo Station,-33.89744549,151.20023991,metro
Waverton Station,-33.8376183,151.19738129,train
Wentworth Falls Station,-33.70951523,150.37637161,train
Wentworth Park Light Rail,-33.87441219,151.19402163,light_rail
Wentworthville Station,-33.80706891,150.97236952,train
Werrington Station,-33.75916137,150.75759387,train
West Ryde Station,-33.80719476,151.09019218,train
Westmead Hospital Light Rail,-33.80471256,150.99007051,light_rail
Westmead Station,-33.80847754,150.98789237,light_rail
Westmead Station,-33.80847754,150.98789237,train
Windsor Station,-33.61375217,150.81121394,train
Wingello Station,-34.69222428,150.15823395,train
Wirragulla Station,-32.4629466,151.7424967,train
Wolli Creek Station,-33.92853822,151.15411287,train
Wollongong Station,-34.42701768,150.88819093,train
Wollstonecraft Station,-33.83194479,151.19174851,train
Wombarra Station,-34.27547946,150.95353511,train
Wondabyne Station,-33.49214559,151.25699945,train
Woodford Station,-33.73567216,150.48171549,train
Woolooware Station,-34.04754097,151.14375723,train
Woonona Station,-34.34963696,150.91517037,train
Woy Woy Station,-33.48572837,151.32330628,train
Wyee Station,-33.18007088,151.48708552,train
Wynyard Station,-33.86594489,151.2061031,light_rail
Wynyard Station,-33.86594489,151.2061031,train
Wyong Station,-33.28539097,151.42523404,train
Yagoona Station,-33.90721147,151.02459877,train
Yallamundi Light Rail,-33.80996,151.02927179,light_rail
Yennora Station,-33.86466386,150.97105333,train
Yerrinbool Station,-34.37166317,150.54351765,train
Zig Zag Station,-33.47177615,150.2020153,train
